Source PDF,Street no,Rest of PDF,County,Manifest Number,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,First Haul Date,Last Haul Date,Manure Number of Hauls,Manure Mass per Haul (tons),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
11204 Fulkerth Rd Turlock 2024 Dairy AR,11204, Fulkerth Rd Turlock 2024 Dairy AR,rancho_cordova,1,24,25,manure,,Lucas Dairy,11204 Fulkerth Road Turlock CA 95380,Five Star Custom Spreading,P.O. Box 488 Gustine CA 95322,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,,,Broker,,2600,87.47,,Number Of Truckloads X Average Truck Weight,,,10/11/24,,,,,,,FALSE,R5-2007-0035_general_order
11301 W Bradbury Rd Turlock 2024 Dairy AR,11301, W Bradbury Rd Turlock 2024 Dairy AR,rancho_cordova,1,31,32,manure,,Fire-Lake Jerseys,11301 W. Bradbury Rd Turlock CA 95380,Joshua Holsapple's Fertilizer Spreading INC.,400 N. Central Avenue Turlock CA 95380,J.H.F.S. INC. 400 N. Central Avenue Turlock 95380 (209) 668-4727,J.H.F.S. INC. 400 N. Central Avenue Turlock 95380 (209) 668-4727,400 N. Central Avenue Turlock 95380,,,Broker,,1100,87.9,,Number Of Truckloads X Average Truck Weight,,,10/21/24,,,,,,,FALSE,R5-2007-0035_general_order
11450 Carroll Rd Elk Grove 2024 Dairy AR,11450, Carroll Rd Elk Grove 2024 Dairy AR,rancho_cordova,1,70,71,manure,,Sb Farms,11450 Carroll Rd. Elk Grove 95757,Taj Silva Farms,12997 E. Peltier Rd. Acampo 95220,Same,Same,216 Hwy. 220 Ryde,,142-0100-X031-Xxxx,,,2000,77.9,,200 Loads Hauled At Approximately 10 Tons Per Load.,,,5/27/24,,,,,,,FALSE,R5-2007-0035_general_order
11450 Carroll Rd Elk Grove 2024 Dairy AR,11450, Carroll Rd Elk Grove 2024 Dairy AR,rancho_cordova,2,72,73,manure,,Sb Farms,11450 Carroll Rd. Elk Grove 95757,Taj Silva Farms,E. Peltier Rd. Acampo 95220,Same,Same,216 Hwy. 220 Ryde,,142-0100-X031-Xxxx,,,1000,72.9,,100 Loads Hauled At Approximately 10 Tons Per Load.,,,10/14/24,,,,,,,FALSE,R5-2007-0035_general_order
11735 Carroll Rd Elk Grove 2024 Dairy AR,11735, Carroll Rd Elk Grove 2024 Dairy AR,rancho_cordova,1,20,21,manure,,Machado & Sons Dairy,11735 Carroll Rd. Elk Grove 95757,Van Steyn Dairy #1,Carroll Rd. Elk Grove 95757,Same As Hauler,Same As Hauler,,,132-0240-X047-0000,,,320,14.4,,Havler's Estimation,,,10/14/24,,,,,,,FALSE,R5-2007-0035_general_order
11737 Bluegum Rd Hickman 2024 Dairy AR,11737, Bluegum Rd Hickman 2024 Dairy AR,rancho_cordova,1,80,80,manure,,Alberto Dairy,11737 Blue Gum Rd Hickman CA 95323,Eniz Brothers,9230 Patterson Rd Oakdale CA 95361-,Deniz Brothers 5230 Patterson Rd Oakdale CA 95361 209-869-1083,Deniz Brothers 5230 Patterson Rd Oakdale CA 95361 209-869-1083,,,,,,1900,77-3 Separator Solids,,,,,2/22/24,,,,,,,FALSE,R5-2007-0035_general_order
11910 Bruceville Rd Elk Grove 2024 Dairy AR,11910, Bruceville Rd Elk Grove 2024 Dairy AR,rancho_cordova,1,39,40,manure,,J & M Dairy,11910 Bruceville Rd. Elk Grove 95757,M. Maravilla Trucking INC.,175 Ash Ave Mendota 93640,D&W Farms 1000 Hidden Lake Road Lodi 95240 (209) 329-4243,D&W Farms 1000 Hidden Lake Road Lodi 95240 (209) 329-4243,Same Lodi 95240,,,,,475,(If Amount Reported In 50.0,,,,,10/16/24,,,,,,,FALSE,R5-2007-0035_general_order
11923 E Childs Ave L Grand 2024 Dairy AR,11923, E Childs Ave L Grand 2024 Dairy AR,rancho_cordova,1,287,288,manure,x,Grand View Dairy,11923 E Childs Ave Le Grand Merced 95333,Grand View Farms,11923 E Childs Ave Le Grand Ca 95333,Dhillon Ranch (209) 631-6136,11923 E Childs Ave Legrand CA 95333,,,0053-0150-0010-0000 Merced,Farmer,,2898,81.5,,Average Load Weight By Total Loads,,,5/15/24,,,,,,,FALSE,R5-2007-0035_software
12100 Fogarty Rd Oakdale 2024 Dairy AR,12100, Fogarty Rd Oakdale 2024 Dairy AR,rancho_cordova,1,18,18,manure,,Riveroak Heifers,12100 Fogarty Road Oakdale CA 95361,P,,Burchell Nursery 12000 Hwy. 120 Oakdale CA 95361 209-845-8733,Burchell Nursery 12000 Hwy. 120 Oakdale CA 95361 209-845-8733,9310 Wamble Road Oakdale CA,,010-080-046,,,770 Congr Cubic Yards (Indicate Whichunits Used),21.2,,,,,10/22/24,,,,,,,FALSE,R5-2007-0035_general_order
12530 Warnerville Rd Oakdale 2024 Dairy AR,12530, Warnerville Rd Oakdale 2024 Dairy AR,rancho_cordova,1,67,68,manure,,Cross View Dairy,12530 Warnerville Road Oakdale CA 95361,Vander Meulen INC.,13282 Escalon Bellota Rd Escalon CA 95320,Nate Ludlow 6648 Smith Road Oakdale CA 95361,Nate Ludlow 6648 Smith Road Oakdale CA 95361,6648 Smith Road Oakdale CA,,010-016-013,,,Manure Solids 150,9.590 Moisture,,15 Loads At 10 Ton Per Load.,Of,2/4/24,2/24/24,15,10,,,,,FALSE,R5-2013-0122_general_order
12530 Warnerville Rd Oakdale 2024 Dairy AR,12530, Warnerville Rd Oakdale 2024 Dairy AR,rancho_cordova,2,70,71,wastewater,,Cross View Dairy,12530 Warnerville Road. Oakdale CA 95361,Silva Liquid Injection LLC,22600 N. Pearl Rd Acampo CA 95220,Neal Casey P.O. Box 1543 Oakdale CA 95361 209-000-0000,Neal Casey P.O. Box 1543 Oakdale CA 95361 209-000-0000,6440 Emery Road Oakdale CA,,010-020-018,,1200000,,,,,Of Haulers Calculations,,5/1/24,,,,,,,FALSE,R5-2013-0122_general_order
12712 W Bradbury Rd Turlock 2024 Dairy AR,12712, W Bradbury Rd Turlock 2024 Dairy AR,rancho_cordova,1,16,17,manure,,S.A.S Dairy #2,12712 W. Bradbury Rd Turlock CA 95380,Joshua Holsapple's Fertilizer Spreading INC.,400 N. Central Avenue Turlock CA 95380,J.H.F.S. INC. 400 N. Central Avenue Turlock 95380 (209) 668-4727,J.H.F.S. INC. 400 N. Central Avenue Turlock 95380 (209) 668-4727,400 N. Central Avenue Turlock 95380,,,Broker,,1250,88.6,,Number Of Truckloads X Average Truck Weight,,,5/14/24,,,,,,,FALSE,R5-2007-0035_general_order
12739 Murphy Rd Escalon 2024 Dairy AR,12739, Murphy Rd Escalon 2024 Dairy AR,rancho_cordova,1,81,82,manure,,Vanderscaff 1,,Bruce Mellor INC.,18119 E. Avena Rd Escalon CA 95320,Raul 209-887-3845,Raul 209-887-3845,Po Box 479 Linden CA 95236,,,Other Hyponex,,Solids 240,,,,,1/1/24,12/31/24,,,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,1,59,60,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Robert Petttersen 20560 Hwy 99 E. Frontage Road Acampo CA 95220,Robert Petttersen 20560 Hwy 99 E. Frontage Road Acampo CA 95220,20560 Hwy 99 E. Frontage Road Acampo CA,,017-031-025,,,Solids 400 Content,,,40 Loads At 10 Ton Per Load.,,,4/11/24,40,10,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,2,61,62,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Rodney Schatz 16100 Alpine Road Lodi CA 9524 209-369-3321,Rodney Schatz 16100 Alpine Road Lodi CA 9524 209-369-3321,18247 N. Treathway Road Lockeford CA,,051-016-012,,,850,71.5,,85 Loads At 10 Ton Per Load,,,4/14/24,85,10,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,3,63,64,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Rodney Schatz 16100 Alpine Road Lodi CA 95240 209-369-3321,Rodney Schatz 16100 Alpine Road Lodi CA 95240 209-369-3321,16200 Alpine Road Lodi CA,,051-070-20,,,1000,75.6,,100 Loads At 10 Ton Per Load,,,4/24/24,100,10,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,4,65,66,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Rodney Schatz 16100 Alpine Road Lodi CA 9524 209-369-3321,Rodney Schatz 16100 Alpine Road Lodi CA 9524 209-369-3321,22299 Devries Road Lodi CA,,013-020-77,,,920,69,,92 Loads At 10 Ton Per Load,,,10/16/24,92,10,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,5,67,68,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt CA 95632 209-321-1318,Silva Brothers Dairy #2 25723 N. Elliott Road Galt CA 95632 209-321-1318,25723 N. Elliott Road Acampo CA 021,,007-013-020,,,650,65.6,,65 Loads At 10 To Per Load,,,10/10/24,,,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,6,69,70,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy #2 25723 N. Elliott Road Galt CA 95632 209-321-1318,Silva Brothers Dairy #2 25723 N. Elliott Road Galt CA 95632 209-321-1318,25723 N. Elliott Road Acampo CA 021,,007-013-020,,,2000,75.6,,200 Loads At 10 To Per Load,,,5/8/24,,,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,7,71,72,manure,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva Brothers Dairy,12997 E. Peltier Road Acampo CA 95220,Joe Silva 12997 Peltier Road Acampo CA 95220 209-607-7197,Joe Silva 12997 Peltier Road Acampo CA 95220 209-607-7197,216 CA State Hwy. 220 Ryde CA,,142-0100-031,,,2750,69,,275 Loads At 10 Ton Per Load,,,10/2/24,275,10,,,,,FALSE,R5-2007-0035_general_order
12997 E Peltier Rd Acampo 2024 Dairy AR,12997, E Peltier Rd Acampo 2024 Dairy AR,rancho_cordova,8,73,74,wastewater,,Silva Brothers Dairy #1,12997 E. Peltier Road Acampo CA 95220,Silva's Liquid Injection,22600 N. Pearl Road Acampo CA 95220,Clyde Culbertson 22901 S. Pearl Road Acampo CA 95220,Clyde Culbertson 22901 S. Pearl Road Acampo CA 95220,22901 S. Pearl Road Acampo CA 95220 007-280-29,,007-280-30,,4187310,,,,,Hauler's Calculations,,,,,,,,,FALSE,R5-2007-0035_general_order
13039 Pellandini Rd Galt 2024 Dairy AR,13039, Pellandini Rd Galt 2024 Dairy AR,rancho_cordova,1,84,85,unknown,x,Van Steyn Dairy #2,13039 Peilandini Rd Galt Sacramento 95632-8818,Case Van Steyn,13039 Pellandini Rd Galt Ca 95632,Van Steyn Dairy #1 (209) 417-1010,11823 Carroll Rd Elk Grove CA 95757,11823 Carroll Rd Elk Grove 95757,Sacramento,X132-X240-X049-Xxxx Sacramento,Farmer,,,,,,,,11/1/24,,,,,,,FALSE,R5-2007-0035_software
13080 E Harney Ln Lodi 2024 Dairy AR,13080, E Harney Ln Lodi 2024 Dairy AR,rancho_cordova,1,41,42,manure,,Frank Chaves Dairy #1,E. Harney Lane Lodi 95240,Frank Chaves Dairy #1,13080 E. Harney Lane. Lodi 95240,Chaves Dairy #2 12021 E. Harney Lanelodi 95240 (209) 329-4243,Chaves Dairy #2 12021 E. Harney Lanelodi 95240 (209) 329-4243,Same Lodi,,630-X250-Xx01-0000,,,250,(If Amount Reported In 73.5,,Hauler's Estimate V,,10/1/24,11/15/24,,,,,,,FALSE,R5-2007-0035_general_order
13293 E Louise Ave Manteca 2024 Dairy AR,13293, E Louise Ave Manteca 2024 Dairy AR,rancho_cordova,1,23,24,manure,,Van Groningen & Sons INC.,13293 Louise Ave. Manteca 95336,Victor Brasil,21768 E. Lone Tree Rd. Escalon 95320,,,,,203-X060-Xx03-Xxxx,,,960,20,,Hauler's Estimation,,6/15/24,9/15/24,,,,,,,FALSE,R5-2007-0035_general_order
13340 Sargent Ave Galt 2024 Dairy AR,13340, Sargent Ave Galt 2024 Dairy AR,rancho_cordova,1,24,25,manure,,Amarjit Kaile Property,Sargent Ave. Galt 95632,Warren Spreading,27613 Sowles Rd. Galt 95632,Umid Babjanov 9500 Robson Rd. Galt 95632 209-747-8297,Umid Babjanov 9500 Robson Rd. Galt 95632 209-747-8297,Same,,,,,780,50.9,,,,5/15/24,10/1/24,,,,,,,FALSE,R5-2007-0035_general_order
13436 N Thornton Rd Lodi 2024 Dairy AR,13436, N Thornton Rd Lodi 2024 Dairy AR,rancho_cordova,1,105,106,manure,,Lima Ranch,13436 N. Thornton Road Lodi CA 95242,Joe Avis Farms,4510 Point Pleasant Rd. Elk Grove CA 95757,Joe Avis Farms 4510 Point Pleasant Road Elk Grove CA 95757 916-684-1774,Joe Avis Farms 4510 Point Pleasant Road Elk Grove CA 95757 916-684-1774,4510 Point Pleasant Road Elk Grove CA 95757,,,,,3000,54.8,,120 Loads At 25 Ton Per Load,Of,,8/14/24,120,25,,,,,FALSE,R5-2013-0122_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,1,97,98,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,3020,,,20 Yard Spreader Box,,,1/17/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,2,99,100,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,520,,,20 Yard Spreader Box,,,4/3/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,3,101,102,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,1160,,,20 Yard Spreader Box,,,2/27/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,4,103,104,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,2980,,,20 Yard Spreader Box,,,4/10/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,5,105,106,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,360,,,20 Yard Spreader Box,,,7/24/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,6,107,108,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,380,,,20 Yard Spreader Box,,,6/5/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,7,109,110,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,Solids 1160 Content,,,20 Yard Spreader Box,,,12/14/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,8,111,112,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,2820,,,20 Yard Spreader Box,,,10/31/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,9,113,114,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,580,,,20 Yard Spreader Box,,,9/25/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,10,115,116,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,Solids 1440 Content,,,20 Yard Spreader Box,,,12/6/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,11,117,118,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,2180,,,20 Yard Spreader Box,,,12/13/24,,,,,,,FALSE,R5-2007-0035_general_order
13640 Collier Rd Delhi 2024 Dairy AR,13640, Collier Rd Delhi 2024 Dairy AR,rancho_cordova,12,119,120,manure,,Parkview Dairy,,Jerry Holsapple Manure Spreading,19085 Bradbury Rd. Turlock 95380,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,Jerry Holsapple Manure Spreading 19085 W.Bradbury Turlock 95380 (209)668-2400,,,,,,840,,,20 Yard Spreader Box,,,12/31/24,,,,,,,FALSE,R5-2007-0035_general_order
13701 S Hwy 59 El Nido 2024 Dairy AR,13701, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,1,89,90,manure,x,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,Shuteye Transco Llc,24662 Road 9 Chowchilla Ca 93610,Flying M Ranch (209) 777-9084,1234 Mcnamara Rd Chowchilla CA 95341,,,X066-X150-X001-Xxxx Merced,Farmer,,1700,27.3,,Number Of Loads Multiplied By Load Weight,,,5/15/24,,,,,,,FALSE,R5-2007-0035_software
13701 S Hwy 59 El Nido 2024 Dairy AR,13701, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,2,91,92,manure,x,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,Shuteye Transco Llc,24662 Road 9 Chowchilla Ca 93610,Flying M Ranch (209) 777-9084,1234 Mcnamara Rd Chowchilla CA 95341,,,X066-X150-X001-Xxxx Merced,Farmer,,2400,27.3,,Number Of Loads Multiplied By Load Weight.,,,5/20/24,,,,,,,FALSE,R5-2007-0035_software
13701 S Hwy 59 El Nido 2024 Dairy AR,13701, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,3,93,94,manure,x,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,Gomes Farms Inc.,13625 Coyote Rd El Nido Ca 95317,Gomes Farms Inc. (209) 564-2431,13625 Coyote Rd El Nido CA 95317,13625 Coyote Rd El Nido 95317,Madera,,Farmer,,850,35.6,,Number Of Loads Multiplied By Load Weight,,,7/8/24,,,,,,,FALSE,R5-2007-0035_software
13701 S Hwy 59 El Nido 2024 Dairy AR,13701, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,4,95,96,manure,x,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,Shuteye Transco Llc,24662 Road 9 Chowchilla Ca 93610,Flying M Ranch (209) 777-9084,1234 Mcnamara Rd Chowchilla CA 95341,,,X066-X150-X001-Xxxx Merced,Farmer,,425,95.5,,Number Of Loads Multiplied By Load Weight,,,10/8/24,,,,,,,FALSE,R5-2007-0035_software
13701 S Hwy 59 El Nido 2024 Dairy AR,13701, S Hwy 59 El Nido 2024 Dairy AR,rancho_cordova,5,97,98,manure,x,Healy Ranch (Formally Guilherme Brasil Dairy),13701 S Hwy 59 El Nido Merced 95317,Shuteye Transco Llc,24662 Road 9 Chowchilla Ca 93610,Flying M Ranch (209) 777-9084,1234 Mcnamara Rd Chowchilla CA 95341,,,X066-X150-X001-Xxxx Merced,Farmer,,625,35.6,,Number Of Loads Multiplied By Load Weight,,,10/10/24,,,,,,,FALSE,R5-2007-0035_software
13775 Murphy Rd Escalon 2024 Dairy AR,13775, Murphy Rd Escalon 2024 Dairy AR,rancho_cordova,1,80,81,manure,,Vanderscaff 3,,Bruce Mellor INC.,18119 E. Avena Rd Escalon CA 95320,Alajandro 310-952-5020,Alajandro 310-952-5020,12686 Locke Rd. Lockford CA 95237,,,Other Kelloggs,,Solids 1056 Content Ions,,,,,1/1/24,12/31/24,,,,,,,FALSE,R5-2007-0035_general_order
14691 S Brennan Rd Escalon 2024 Dairy AR,14691, S Brennan Rd Escalon 2024 Dairy AR,rancho_cordova,1,21,22,manure,,Fragoso Dairy #2,14691 Bren,Brasil & Sons,21768 E. Lone Tree Road Escalon CA 95320,Brasil & Sons 21768 E. Lone Tree Road Escalon CA 95320 209-595-1577,Brasil & Sons 21768 E. Lone Tree Road Escalon CA 95320 209-595-1577,20623 E. Lone Tree Road Escalon CA,,205-110-04,,,1720,35.2,,172 Loads At 10 Ton Per Load,Of,,10/14/24,172,10,,,,,FALSE,R5-2013-0122_general_order
14842 E Keyes Rd Denair 2024 Dairy AR,14842, E Keyes Rd Denair 2024 Dairy AR,rancho_cordova,1,41,42,manure,,Haringa Dairy,14842 E. Keyes Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,,,,Solids 75 Content,,,Hauler's Calculation,,,1/11/24,,,,,,,FALSE,R5-2007-0035_general_order
14842 E Keyes Rd Denair 2024 Dairy AR,14842, E Keyes Rd Denair 2024 Dairy AR,rancho_cordova,2,44,45,manure,,Haringa Dairy,14842 E. Keyes Rd. Denair 95316,Johnson Farms,P.O. Box 868 Denair 95316,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,Johnson Farms P.O. Box 868 Denair 95316 209-874-5343,4618 N. Montpelier Rd. Denair 95316,,,,,2700,49.9,,Hauler's Calculation,,,11/2/24,,,,,,,FALSE,R5-2007-0035_general_order
14903 S Volta Rd Los Banos 2024 Dairy AR,14903, S Volta Rd Los Banos 2024 Dairy AR,rancho_cordova,1,32,33,wastewater,x,Ivy Star Dairy Llc,14903 Volta Rd Los Banos Merced 93635,F And Alagoon Management,2930 Geer Rd Turlock Ca 95382,David Santos Farming (209) 826-1065,720 Jefferson Ave Los Banos CA 93635,720 Jefferson Ave Los Banos 93635,Merced,,Farmer,2820000,,,,,10000 Gallons Per Load X 282 Loads,,4/30/24,,,10000,282,,,FALSE,R5-2007-0035_software
14903 S Volta Rd Los Banos 2024 Dairy AR,14903, S Volta Rd Los Banos 2024 Dairy AR,rancho_cordova,2,34,35,manure,x,Ivy Star Dairy Llc,14903 Volta Rd Los Banos Merced 93635,David Santos Farming,720 Jfferson Ave Los Banos Ca 93635,David Santos Farming (209) 826-1065,720 Jefferson Ave Los Banos CA 93635,720 Jefferson Ave Los Banos 93635,Merced,,Farmer,,4128,42.3,,Tons Per Load,,,7/24/24,,,,,,,FALSE,R5-2007-0035_software
15343 Tim Bell Rd Waterford 2024 Dairy AR,15343, Tim Bell Rd Waterford 2024 Dairy AR,rancho_cordova,1,26,27,manure,,Lockwood Iii Dairy,15343 Tim Bell Rd. Waterford 95386,Hinds Spreading,19075 Third Ave. Stevinson 95374,Peterson Farms 2902 Tim Bell Rd Waterford 95386 (209) 606-7463,Peterson Farms 2902 Tim Bell Rd Waterford 95386 (209) 606-7463,Same Waterford 95386,,,,,1330,(If Amount Reported In Moisture,,Hauler's Estimation,,,5/1/24,,,,,,,FALSE,R5-2007-0035_general_order
15343 Tim Bell Rd Waterford 2024 Dairy AR,15343, Tim Bell Rd Waterford 2024 Dairy AR,rancho_cordova,2,28,29,manure,,Lockwood Iii Dairy,15343 Tim Bell Rd. Waterford 95386,5M Hay & Ag,1831,Same,Same,Denair,,020-X006-X027-X000,,,1000,14.7,,Hauler's Estimate.,,7/15/24,9/5/24,,,,,,,FALSE,R5-2007-0035_general_order
