Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Type,Destination Name,Destination Address,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Parameter Template,Destination Assessor Parcel Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded),First Haul Date,Last Haul Date,Manure Mass per Haul (tons),Is Pipeline,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manure Number of Hauls,Manure Density,Wastewater Volume per Haul (Gallons),Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Wastewater Number of Hauls,Destination Nearest Cross Street,Destination Type (Standardized),Manure Moisture (%),Manifest Type
Double B Dairy,5817 E Worden Ave Merced Merced 95340,Kenneth R Stones Spreading Service,5175 W Shaw Ave Winton Ca 95388,Farmer,Kenneth R Stones Spreading Service (209) 756-1491,5175 W Shaw Ave Winton 95388,08/20/2024,,430.0,23.6,Number Of Loads Multiplied By Load Weight,,R5-2007-0035_software,,"(37.236077174189, -120.383204128772)","(37.425366280333, -120.579112088577)",,8/20/2024,,False,5817 E Worden Ave Merced 2024 Dairy AR,rancho_cordova,generic_r5,4,115,116,,,,,,,Merced,Farmer,,manure
Double B Dairy,5817 E Worden Ave Merced Merced 95340,Kenneth R Stones Spreading Service,5175 W Shaw Ave Winton Ca 95388,Farmer,Kenneth R Stones Spreading Service (209) 756-1491,5175 W Shaw Ave Winton 95388,10/18/2024,,449.0,23.6,Number Of Loads Multiplied By Load Weight,,R5-2007-0035_software,,"(37.236077174189, -120.383204128772)","(37.425366280333, -120.579112088577)",,10/18/2024,,False,5817 E Worden Ave Merced 2024 Dairy AR,rancho_cordova,generic_r5,5,117,118,,,,,,,Merced,Farmer,,manure
Kooistra Dairy,5837 Hultberg Road Turlock Ca 95380,Kooistra Dairy,5837 Hultberg Road Turlock Ca 95380,Farmer,Do Toste 9865 Tegner Road Hilmar 95324 (209) 495-1041,Merced County,3/19/24 7/11/24 7/24/24 & 8/9/24,1650000.0,,,, Total Run Time X Pump Output Gpm,R5-2007-0035_general_order,045-X013-X027-Xxxx,"(37.438153041265, -120.895575117737)",,,,,False,"5837 Hultberg RD, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,33,34,,,,,,,,Farmer,,wastewater
Kooistra Dairy,5837 Hultberg Road Turlock Ca 95380,Kooistra Dairy,5837 Hultberg Road Turlock Ca 95380,Farmer,Elmiro Moitoso 5701 Hultberg Road Hilmar 95324 (209) 632-1873,Stanislaus County,7/2/24 7/17/24 & 7/29/24,780000.0,,,, Total Run Time X Pump Output Gpm,R5-2007-0035_general_order,057-X017-X004-Xxxx,"(37.438153041265, -120.895575117737)",,,,,False,"5837 Hultberg RD, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,2,35,36,,,,,,,,Farmer,,wastewater
Kooistra Dairy,5837 Hultberg Road Turlock Ca 95380,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Broker,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,10/14/24,,1500.0,57.1,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.438153041265, -120.895575117737)","(37.252812984983, -120.994122997389)",,10/14/2024,,False,"5837 Hultberg RD, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,3,37,38,,,,,,,,Broker,,manure
Nelson Farms,5931 W Tudumne Rd Ceres 95307,Silva & Sons Llc,23616 Williams Ave Hilmar,,Boyd'S 8126 Faith Home Rd Ceres 95307,,6.4.2024,,300.0,,Scales,,R5-2007-0035_general_order,,"(37.514649349039, -120.917168744335)",,,6/4/2024,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,1,45,46,,,,,,,,,,manure
Nelson Farms,5931 W Tuolumne Rd Ceres 95307,Silva + Sons Llc,23616 Williams Ave Hilmar,,Bill Jackson 8048 Faith Home Rd Ceres 95307,,6-4-2024,,300.0,,Scales,,R5-2007-0035_general_order,,"(37.514649349039, -120.917168744335)",,2/12/2024,2/6/2026,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,2,47,48,,,,,,,,,,manure
Nelson Farms,5931 W Tuolumne Rd Ceres 95307,Silva & Sons Llc,23616 Williams Ave Hilmar,,Bill Jackson 8048 Faith Homme Rd. Ceres 95307,,10.26.2024,,Solids 230 Content,,Scales,,R5-2007-0035_general_order,,"(37.514649349039, -120.917168744335)",,,10/26/2024,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,3,49,50,,,,,,,,,,manure
Nelson Farms.,5931 W Tuolumne Rd Ceres 95307,Silvat Sons Llc,23616 Williams Ave. Hilmar,,Duarte-Acres 8413 Faith Home Rd Ceres 95307,,10.26. 2024,,230.0,,Scales,,R5-2007-0035_general_order,,"(37.514649349039, -120.917168744335)",,,,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,4,51,52,,,,,,,,,,manure
Nelson Farms,5931 W Tuolumne Rd Ceres 95307,Dwayne Nelson,5931 W Tuolumne Rd Cères,,Bill Jackson 8048 Faith Home Rd Ceres 95307,,5.4.2024,480000.0,,,,8 Hours Of Liquid Manure @ 1000 Gallons Per Minute,R5-2007-0035_general_order,,"(37.514649349039, -120.917168744335)",,,5/4/2024,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,5,53,54,,,1000.0,8.0,,,,,,wastewater
Nelson Farms,5931 W Tuolumne Rd Ceres 95307,Dwayne Nelson,5931 W Tuolum Ne Rd Ceres,,Bill Jackson 8048 Faith Home Rd Ceres 95307,,7.22.2024,480000.0,,,,8 Hours Of Liquid Manure @ 1000 Gallons Per Minute,R5-2007-0035_general_order,0023-0005-0001-0000,"(37.514649349039, -120.917168744335)",,,7/22/2024,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,6,55,56,,,1000.0,8.0,,,,,,wastewater
Nelson Farms,5931 W Tadumne Rd Ceres 95307,Dwayne Nelson,5931 W Tuolumne Bd Ceres 95307,,Bill Jackson 8048 Faith Home Rd Ceres 95307,,2.21.2024,480000.0,,,,8 Hours Of Liquid Manure 1000 Gallons Per Minute,R5-2007-0035_general_order,,"(37.587899, -120.949811)",,,2/21/2024,,False,5931 W Tuolumne Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,7,57,58,,,1000.0,8.0,,,,,,wastewater
N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,Farmer,Carlos Ornales 5026 Christofferson Road Turlock 95380 (209) 595-4318,5026 Christofferson Road Turlock 95380,10/18/2024,360000.0,,,, Total Run Time X Pump Output Gpm,R5-2007-0035_general_order,,"(37.436642789951, -120.896652862847)","(37.440678005778, -120.907359151592)",,10/18/2024,,False,6025 Hultberg Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,1,31,32,,,,,,,,Farmer,,wastewater
N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Broker,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,5/1/2024,,1700.0,85.8,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.436642789951, -120.896652862847)","(37.252812984983, -120.994122997389)",,5/1/2024,,False,6025 Hultberg Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,2,33,34,,,,,,,,Broker,,manure
N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Broker,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,10/15/2024,,2000.0,92.7,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.436642789951, -120.896652862847)","(37.252812984983, -120.994122997389)",,10/15/2024,,False,6025 Hultberg Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,3,35,36,,,,,,,,Broker,,manure
N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,Farmer,B & D Dairy 9579 Hultberg Rd. Hilmar 95324 209-667-1781,9579 Hultberg Rd Hilmar 95324,1/8/24 3/6/24 3/27/24,717570.0,,,, Total Run Time X Pump Output Gpm,R5-2007-0035_general_order,,"(37.436642789951, -120.896652862847)","(37.427118936287, -120.89576094453)",,,,False,6025 Hultberg Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,4,37,38,,,,,,,,Farmer,,wastewater
N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,N & C Silveira Dairy,6025 Hultberg Road Turlock Ca 95380,Farmer,B & D Dairy 9579 Hultberg Rd. Hilmar 95324 209-667-1781,9579 Hultberg Rd Hilmar 95324,6/22/24 6/30/24 7/10/24 7/20/24 10/15/24,1255060.0,,,, Total Run Time X Pump Output Gpm,R5-2007-0035_general_order,,"(37.436642789951, -120.896652862847)","(37.427118936287, -120.89576094453)",,,,False,6025 Hultberg Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,5,39,40,,,,,,,,Farmer,,wastewater
Martins Brothers Dairy,6041 Central Ave Hilmar Merced 95324,Dairy Central,6480 Mitchell Rd Hilmar Ca 95324,Farmer,B&B Farms (209) 321-5444,Hilmar 95324,04/27/2024,8011753.0,,,,Flowmeter,R5-2007-0035_software,,"(37.378794959457, -120.959938159659)","(37.397197, -120.874568)",,4/27/2024,,False,"6041 Central Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,1,82,83,,,,,,,Central And Williams Merced,Farmer,,wastewater
Martins Brothers Dairy,6041 Central Ave Hilmar Merced 95324,Dores Ag Services Inc.,P.O. Box 65 Stevinson Ca 95374,Broker,Dores Ag Services Inc. (209) 649-4503,1 Turner Ave Stevinson 95324,03/13/2024,,1968.0,42.8,Total Loads Hauled Multiplied By Average Load Weight.,,R5-2007-0035_software,,"(37.378794959457, -120.959938159659)","(37.371863195565, -120.882231069105)",,3/13/2024,,False,"6041 Central Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,2,84,85,,,,,,,Merced,Broker,,manure
California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,Hinds Manure Spreading,19075 3Rd Ave Stevinson Ca 95374,Compost Facility,Hinds Compost 19075 3Rd Ave Stevinson 95374 (209) 634-8934,19075 3Rd Ave Stevinson 95374,12/20/24,,960.0,68.0,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.378207314509, -120.841586612751)","(37.325729172363, -120.834534746052)",,12/20/2024,,False,"6071 Larson Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,1,58,59,,,,,,,,Composting Facility,,manure
California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,Farmer,Manuel Faria 20399 W. Williams Avenue Hilmar 95324 (209) 495-1470,Apn X045-X230-X032-Xxxx & Merced County,2/22/24 5/27/24 7/27/24 10/14/24,1764000.0,,,,Pump Run Time X Total Hours,R5-2007-0035_general_order,045-X230-X061-Xxxx,"(37.378207314509, -120.841586612751)",,,,,False,"6071 Larson Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,2,60,61,,,,,,,,Farmer,,wastewater
California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,Farmer,Vierra Dairy Farms 23160 W. Williams Avenue Hilmar 95324 (209) 449-8433,Apn Merced County,1/31/24 7/12/24,2016000.0,,,,Pump Run Time X Total Hours,R5-2007-0035_general_order,045-X230-X008-Xxxx,"(37.378207314509, -120.841586612751)",,,,,False,"6071 Larson Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,3,62,63,,,,,,,,Farmer,,wastewater
California Dairy Farms-Larson,6071 North Larson Road Hilmar Ca 95324,,19075 3Rd Ave Stevinson Ca 95374,Farmer,Jd Van Ruler 5922 Lander Avenue Hilmar 95324 (209) 634-7951,5922 Lander Avenue Hilmar 95324,11/20/24,,480.0,68.0,,Pump Run Time X Total Hours,R5-2007-0035_general_order,,"(37.378207314509, -120.841586612751)","(37.374217685952, -120.848825974785)",,11/20/2024,,False,"6071 Larson Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,4,64,65,,,,,,,,Farmer,,manure
Lorinda/Machado/Azevedo Farms,619 S. Vincent Road Turlock Stanislaus 95380,Ndj Farming,7306 East Avenue Turlock Ca 95380,Farmer,Ndj Farming (209) 918-5622,Turlock 95380,05/01/2024,,1339.0,74.5,Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Hauled,,R5-2007-0035_software,,"(37.486527770519, -120.776380682726)","(37.492627993921, -120.807756996158)",,5/1/2024,,False,"619 S Vincent Rd, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,34,35,,,,,,,East Avenue & Verduga Avenue Stanislaus,Farmer,,manure
Arlinda Holsteins,6325 W. Main St. Turlock 95380,Alp Custom Spreading,2324 Villa Manucha Newman 95360,,Jeff Lima 2324 Villa Manucha Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,3/23/24,,770.0,Moisture,77 Loads @ 10 Tons Per Load,,R5-2007-0035_general_order,,"(37.493523642185, -120.919674681928)","(37.365262041504, -121.022008751064)",,3/23/2024,10.0,False,"6325 West main St, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,34,35,77,,,,,,,,,manure
Arlinda Holsteins,6325 W. Main St. Turlock 95380,Alp Custom Spreading,2324 Villa Manucha Newman 95360,,Jeff Lima 2324 Villa Manucha Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,8/4/24,,Solids 640 Content,,64 Loads @ 10 Tons Per Load.,,R5-2007-0035_general_order,,"(37.493523642185, -120.919674681928)","(37.365262041504, -121.022008751064)",,8/4/2024,10.0,False,"6325 West main St, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,2,36,37,64,,,,,,,,,manure
-J & J De Raadt Dairy I,,Deniz Brothers,9230 Patterson Road Oakdale Ca 95361,,Deniz Brothers 5230 Patterson Road Oakdale Ca 95361 209-605-1373,5230 Patterson Road Oakdale Ca,11/4/2024,,,,,,R5-2007-0035_general_order,062-025-026,,"(37.728709, -120.899171)",,11/4/2024,,False,6460 Smith Rd Oakdale 2024 Dairy AR,rancho_cordova,generic_r5,1,50,50,,,,,,,,,,unknown
Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,Twin Star Dairy,P.O. Box 3089 Turlock Ca 95381,Farmer,Alpha Gipe (209) 769-7560,Atwater 95301,04/30/2024,5783486.0,,,,Pond Drop Calculation Based On 5 Feet Drop In First Quarter,R5-2007-0035_software,,"(37.287719669524, -120.607039432056)",,,4/30/2024,,False,6480 W Bailey Rd Atwater 2024 Dairy AR,rancho_cordova,generic_r5,1,13,14,,,,,,,Oak Ave Merced,Farmer,,wastewater
Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,Twin Star Dairy,P.O. Box 3089 Turlock Ca 95381,Farmer,Alpha Gipe (209) 769-7560,Atwater 95301,06/30/2024,7021541.0,,,,Pond Drop Calculations,R5-2007-0035_software,,"(37.287719669524, -120.607039432056)",,,6/30/2024,,False,6480 W Bailey Rd Atwater 2024 Dairy AR,rancho_cordova,generic_r5,2,15,16,,,,,,,Oak Ave Merced,Farmer,,wastewater
Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,Twin Star Dairy,P.O. Box 3089 Turlock Ca 95381,Farmer,Alpha Gipe (209) 769-7560,Atwater 05301,09/30/2024,7021541.0,,,,Pond Drop Calculations,R5-2007-0035_software,,"(37.287719669524, -120.607039432056)","(37.280227421357, -120.583511188836)",,9/30/2024,,False,6480 W Bailey Rd Atwater 2024 Dairy AR,rancho_cordova,generic_r5,3,17,18,,,,,,,Oak Ave Merced,Farmer,,wastewater
Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,Twin Star Dairy,P.O. Box 3089 Turlock Ca 95381,Farmer,Alpha Gipe (209) 769-7560,Atwater 95301,12/31/2024,4572630.0,,,,Pond Drop Calculations,R5-2007-0035_software,,"(37.287719669524, -120.607039432056)",,,12/31/2024,,False,6480 W Bailey Rd Atwater 2024 Dairy AR,rancho_cordova,generic_r5,4,19,20,,,,,,,Oak Ave Merced,Farmer,,wastewater
Tony Morris Dairy,6506 Vivian Rd Modesto Stanislaus 95358,Tony Morris Dairy,P.O. Box 580596 Modesto Ca 95358,Farmer,Morris Jersey Girls (209) 678-2300,,05/17/2024,,440.0,77.8,44 Loads @ 10 Tons Per Load.,,R5-2007-0035_software,X017-X043-X023-Xxxx Stanislaus,"(37.541673820252, -121.041800939032)",,,5/17/2024,10.0,False,6506 Vivian Rd Modesto 2024 Dairy AR,rancho_cordova,generic_r5,1,106,107,44,,,,,,,Farmer,,manure
Double & Dairy,6555 Blue Gum Avec. Modesto 95358,Avila Spreading Service,P.O.,,Boer + Sons 6413 Shoemare Ave. Modesto 95358 209-524-1803,,6/11/24,,560.0,33.69,56 Loads @ 10 Tons Per Load.,,R5-2007-0035_general_order,012-027-022,"(37.660727062105, -121.114318315459)","(35.571592, -121.11142)",,6/11/2024,10.0,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,1,42,43,56,,,,,,,,,manure
Double G Dairy,6555 Blue Gum Ave. Modesto 95358,Avila Spreading Service,P.O. Box 580742 Modesto 95358,,John Regusci 5425 Stoddard Rd. Modesto 95356 204-545-1277,,10/4/24,,2000.0,32.0,200 Loads @ 10 Tons Per Load.,,R5-2007-0035_general_order,003-001-005,"(37.660727062105, -121.114318315459)","(37.714011, -121.143295)",,10/4/2024,10.0,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,2,45,46,200,,,,,,,,,manure
Double G Dairy,6555 Blue Gum Ave. Modesto 95358,Avila Spreading Service,P.O. Box 580742 Modesto 95358,,Woody Mouw 3509 Finney Rd. Modesto 45358 209-545-1417,3509 Finney Rd. Modesto 95358,10/5/24,,420.0,Mustine,42 Loads 10 Tons Per Load.,,R5-2007-0035_general_order,,"(37.660727062105, -121.114318315459)","(37.690453571771, -121.086514823328)",,10/5/2024,10.0,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,3,48,49,42,,,,,,,,,manure
Double G Dairy,6555 Blue Gum Ave. Modesto 95358,Avila Spreading Service,P.O.,,In+Out Services 3642 Finney Rd. Modesto 95358 209-543-7546,3642 Finney Rd. Modesto 95358,10/15/24,,1600.0,32.0,160 Loads 10 Tons Per Load,,R5-2007-0035_general_order,,"(37.660727062105, -121.114318315459)","(37.691516265129, -121.086104745551)",,10/15/2024,10.0,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,4,51,52,160,,,,,,,,,manure
Double & Dairy,6555 Blue Gum Ave Modesto 95358,Avila Spreading Service,P.O. Box 580742 Modesto 95358,,Johnny Regusci 5425 Stoddard Rd. Modesto 95356 209-545-1277,5425 Stoddard Rd. Modesto 95356,10/18/24,,1320.0,32.0,132 Loads @ 10 Tons Per Load.,,R5-2007-0035_general_order,,"(37.660727062105, -121.114318315459)","(37.717600161078, -121.068817489347)",,10/18/2024,10.0,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,5,54,55,132,,,,,,,,,manure
Double & Dairy,6555 Blue Gum Ave. Modesto 95358,Frank Gwerder,825 S. Hart Rd. Modesto 95358,,Wheeler-Sons 5301 Woodland Ave. Modesto 95358 209-526-9710,,,600000.0,Solids Content,Which Units Used),, 10 Hours @ 1000 Gpm,R5-2007-0035_general_order,012-034-023,"(37.660727062105, -121.114318315459)","(35.552162, -121.087588)",,,,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,6,57,58,,,,10.0,1000.0,,,,,both
Double & Dairy,6555 Blue Gum Ave. Modesto 95358,Frank Gwerder,825 5 Hart Rd. Modesto 95358,,Wheeler-Sons 5301 Woodland Ave. Modesto 95358 209-526-9710,,9/2/24,600000.0,Solids Content,Which Units Used),Amount.,. 10 Hours @ 1000 Gpm,R5-2007-0035_general_order,012-034-023,"(37.660727062105, -121.114318315459)","(35.552162, -121.087588)",,9/2/2024,,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,7,59,60,,,,10.0,1000.0,,,,,both
Double & Dairy,6555 Blue Gum Ave. Modesto 95358,Frank Gwerder,825 5. Hart Rd. Modesto 95358,,Don King 6406 Shoemake Ave Modesto 95358 209-574-5723,,10/24/24,570000.0,,,, 60 Loads Of Surry Q 9500 Gallons Per Load.,R5-2007-0035_general_order,012-028-053,"(37.660727062105, -121.114318315459)","(34.450579, -119.739451)",,10/24/2024,,False,6555 Blue Gum Rd Modeso 2024 Dairy AR,rancho_cordova,generic_r5,8,61,62,,,9500.0,,,60,,,,wastewater
Diamond J Dairy Llc,6600 S Hwy 59 Merced Merced 95341,Stone Family Spreading,5175 W Shaw Ave Winton Ca 95388,Farmer,Ranch Road Farms (209) 725-2699,1 Ranch Rd Merced 95341,04/02/2024,,75.0,21.7,Average Load Weight Multiplied By Loads Hauled.,,R5-2007-0035_software,,"(37.18983593266, -120.482005812452)","(37.217957439544, -120.386378783958)",,4/2/2024,,False,6600 S Hwy 59 Merced 2024 Dairy AR,rancho_cordova,generic_r5,1,45,46,,,,,,,Merced,Farmer,,manure
Diamond J Dairy Llc,6600 S Hwy 59 Merced Merced 95341,Stone Family Spreading,5175 W Shaw Ave Winton Ca 95388,Broker,Stone Family Spreading (209) 338-3200,5175 W Shaw Ave Winton 95388,07/08/2024,,1494.0,21.7,Average Load Weight Multiplied By Loads Hauled.,,R5-2007-0035_software,,"(37.18983593266, -120.482005812452)","(37.425366280333, -120.579112088577)",,7/8/2024,,False,6600 S Hwy 59 Merced 2024 Dairy AR,rancho_cordova,generic_r5,2,47,48,,,,,,,Merced,Broker,,manure
Dewit Dairy,6610 E. Collier Road Acampo Ca 95220,Warren Spreading,;27613 Sowles Road Galt Ca 95632,I,Mark Beck 3217 W. Forest Lake Road Acampo Ca 95220 209-610-2855,3217 Forest Lake Road Acampo Ca,10/1/2024,,1000 Crons)Br Cubic Yards (Indicate Which Units Used),32.7,,,R5-2007-0035_general_order,003-190-07,"(38.217724979957, -121.236991994659)","(38.222520350582, -121.356340656689)",,10/1/2024,,False,6610 E Collier Rd Acampo 2024 Dairy AR,rancho_cordova,generic_r5,1,102,102,,,,,,,,I,,manure
Crane Villa,6624 Crane Road Oakdale Ca 95361,Hinds Spreading,19075 Third Avenue Stevinson Ca 95374,,Hinds Spreading 19075 Third Avenue Stevinson Ca 95374 209-606-7463,19075 Third Avenue Stevinson Ca 95374,10/15/24 To 11/1/24,,,62.1,222 Loads At 20 Ton Per Load,,R5-2007-0035_general_order,,"(37.734875263523, -120.880931681432)","(37.325729172363, -120.834534746052)",,,20.0,False,6624 Crane Rd Oakdale 2024 Dairy AR,rancho_cordova,generic_r5,1,19,20,222,,,,,,,,,unknown
Crane Villa,6624 Crane Road Oakdale Ca 95361,Vierra Bros. Liquid Spreading,6960 Crane Road Oakdale Ca 95361,,6-X Dairy #2 6960 Crane Road Oakdale Ca 95361 209-595-6858,6960 Crane Road Oakdale Ca,5/17/2024,380000.0,,),,Of Process Wastewater 40 Tanker Loads At 9500 Gallons Per Load,R5-2013-0122_general_order,063-027-002,"(37.734875263523, -120.880931681432)","(37.738219, -120.874174)",,5/17/2024,,False,6624 Crane Rd Oakdale 2024 Dairy AR,rancho_cordova,generic_r5,2,22,23,,(If Amount Reported In Cubic Yards),9500.0,,,,,,,wastewater
Dairy Central,6626 N. Central Avenue Hilmar Ca 95324,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Broker,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,5/16/2024,,1500.0,87.19,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.385386194748, -120.958622955232)","(37.252812984983, -120.994122997389)",,5/16/2024,,False,6626 N Central Ave Hilmar 2024 Dairy AR,rancho_cordova,generic_r5,1,86,87,,,,,,,,Broker,,manure
Dairy Central,6626 N. Central Avenue Hilmar Ca 95324,Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Broker,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,10/9/2024,,2800.0,92.97,Number Of Truckloads X Average Truck Weight,,R5-2007-0035_general_order,,"(37.385386194748, -120.958622955232)","(37.252812984983, -120.994122997389)",,10/9/2024,,False,6626 N Central Ave Hilmar 2024 Dairy AR,rancho_cordova,generic_r5,2,88,89,,,,,,,,Broker,,manure
Silvas Holsteins Dairy,6706 Elaine Rd Turlock Stanislaus 95380,Silvas Holsteins Pipeline,6706 Elaine Rd Turlock Ca 95380,Farmer,Bill Ottman (209) 495-0534,5631 Zeering Rd Ceres 95307,04/02/2024,1620000.0,,,,15 Hours Pumping At 1800Gpm,R5-2007-0035_software,,"(37.430076239365, -120.925696660264)","(37.529317558972, -120.991993025084)",,4/2/2024,,True,"6706 Elaine RD, Turlock 2024 Dairy AR",rancho_cordova,cas,1,74,75,,,,15.0,1800.0,,Stanislaus,Farmer,,wastewater
Silvas Holsteins Dairy,6706 Elaine Rd Turlock Stanislaus 95380,Silvas Holsteins Pipeline,6706 Elaine Rd Turlock Ca 95380,Farmer,Bill Ottman (209) 495-0534,5631 Zeering Rd Ceres 95307,06/12/2024,1620000.0,,,,15 Hours Pumping At 1800 Gpm,R5-2007-0035_software,,"(37.430076239365, -120.925696660264)","(37.529317558972, -120.991993025084)",,6/12/2024,,True,"6706 Elaine RD, Turlock 2024 Dairy AR",rancho_cordova,cas,2,76,77,,,,15.0,1800.0,,Stanislaus,Farmer,,wastewater
Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,Shadd Truckin,82W West Liberty Road Gridley Ca 95948,Composting Facility,Shadd Trucking (530) 682-7518,82 West Liberty Road Gridle 95948,08/22/2024,,685.0,89.3,Amount Reported By Vantol Dairy.,,R5-2007-0035_software,0001-0001-0001-0000 Butte,"(39.654465745974, -122.167072110887)","(39.349006898398, -121.691559283851)",,8/22/2024,,False,6756 County Rd 30 Orland 2024 Dairy AR,rancho_cordova,generic_r5,1,34,35,,,,,,,County,Composting Facility,,manure
Van Tol Dairy No. 2,6756 County Road 30 Orland Glenn 95963,K&S Spreading & Hauling,24790 Clark Ave. Orland Ca 95963,I Composting Facility,K & S Spreading & Haulin 530) 624-2783,24790 Clark Ave. Orland 95948,09/24/2024,,1368.0,89.3,Amount Reported By K&S.,,R5-2007-0035_software,0001-000 1-0001-0000 Tehama,"(39.654465745974, -122.167072110887)","(39.828605819414, -122.112338534609)",,9/24/2024,,False,6756 County Rd 30 Orland 2024 Dairy AR,rancho_cordova,generic_r5,2,36,37,,,,,,,Clark Ave. Tehama,Composting Facility,,manure
